Skalak,,Biro,,Merrill,
X,Y,X,Y,X,Y
0.09858291436954039,0.062465517241379304,0.9881769302740198,0.028298909945853504,0.9881769302740198,0.012178220290681094
0.12299176475561142,0.04574690082644628,1.5271591462319434,0.028395981761185525,2.1975671210798313,0.007801617269877437
0.49455531777176165,0.02810921915075519,2.645578552675235,0.017892455115417483,3.1849247339193987,0.0070350170988885685
0.9952538913204364,0.017781846679965803,3.1849247339193987,0.0178970860644058,6.409411892036028,0.005759368766030198
2.213305291478584,0.01375007124536904,6.318585037117002,0.011103840125391826,10.790904554926295,0.005168922770019957
6.097109109886517,0.008171915075520092,6.932806692144534,0.011106155599885995,22.665844285006607,0.004325377600455968
11.424869279186119,0.006204830436021658,10.790904554926282,0.00930685380450269,33.800694192850735,0.003731903676261042
48.987203132870874,0.004172200056996284,14.877181492065596,0.009228662011969216,54.52180785871893,0.003140388999715013
,,22.344649862621445,0.008290538614990017,67.05733366210202,0.0030593473924194897
,,24.51674499768862,0.008292854089484186,,
,,48.987203132870924,0.00684461385009974,,
,,53.749187154086165,0.006846929324593895,,
